Kaynak,Tuketim,Tarih,YIL
Taşkömürü + İthal Kömür,6660.0757311610005,2020-08-01,2020
Lignite,3138.8256925200003,2020-08-01,2020
Liquid Fuels,27.734319623,2020-08-01,2020
Doğal Gaz + LNG,7540.051336735469,2020-08-01,2020
Yenilenebilir + Atık,484.30226754,2020-08-01,2020
Termik,17850.989347579467,2020-08-01,2020
Hidrolik,7025.87857402,2020-08-01,2020
Jeotermal + Rüzgar + Güneş,4466.673603736,2020-08-01,2020
Brüt Üretim,29343.541525335462,2020-08-01,2020
Taşkömürü + İthal Kömür,6372.819737497,2020-09-01,2020
Lignite,3049.36706085,2020-09-01,2020
Liquid Fuels,26.212758967,2020-09-01,2020
Doğal Gaz + LNG,8314.797744613,2020-09-01,2020
Yenilenebilir + Atık,491.71700444,2020-09-01,2020
Termik,18254.914306367,2020-09-01,2020
Hidrolik,5558.598554343,2020-09-01,2020
Jeotermal + Rüzgar + Güneş,3929.47647304,2020-09-01,2020
Brüt Üretim,27742.989333750003,2020-09-01,2020
Taşkömürü + İthal Kömür,5761.32367457,2020-10-01,2020
Lignite,3523.7324126,2020-10-01,2020
Liquid Fuels,33.371705688999995,2020-10-01,2020
Doğal Gaz + LNG,8468.830908550999,2020-10-01,2020
Yenilenebilir + Atık,512.6325905798,2020-10-01,2020
Termik,18299.8912919898,2020-10-01,2020
Hidrolik,4463.919438285,2020-10-01,2020
Jeotermal + Rüzgar + Güneş,2911.226292732255,2020-10-01,2020
Brüt Üretim,25675.03702300705,2020-10-01,2020
Taşkömürü + İthal Kömür,6060.281937690001,2020-11-01,2020
Lignite,3543.065302102,2020-11-01,2020
Liquid Fuels,28.300034791,2020-11-01,2020
Doğal Gaz + LNG,8520.996382578745,2020-11-01,2020
Yenilenebilir + Atık,510.663467575,2020-11-01,2020
Termik,18663.307124736744,2020-11-01,2020
Hidrolik,3316.30535974,2020-11-01,2020
Jeotermal + Rüzgar + Güneş,3952.0520623865,2020-11-01,2020
Brüt Üretim,25931.66454686324,2020-11-01,2020
Taşkömürü + İthal Kömür,6372.109438586999,2020-12-01,2020
Lignite,3611.561659904,2020-12-01,2020
Liquid Fuels,31.069414595,2020-12-01,2020
Doğal Gaz + LNG,9138.7298218653,2020-12-01,2020
Yenilenebilir + Atık,529.404245385,2020-12-01,2020
Termik,19682.8745803363,2020-12-01,2020
Hidrolik,3960.4789087835,2020-12-01,2020
Jeotermal + Rüzgar + Güneş,3980.965066962999,2020-12-01,2020
Brüt Üretim,27624.3185560828,2020-12-01,2020
Taşkömürü + İthal Kömür,5938.748923149999,2021-01-01,2021
Lignite,3419.36614694,2021-01-01,2021
Liquid Fuels,32.384192761,2021-01-01,2021
Doğal Gaz + LNG,8558.408373229506,2021-01-01,2021
Yenilenebilir + Atık,573.517377041,2021-01-01,2021
Termik,18522.425013121505,2021-01-01,2021
Hidrolik,4326.248955079,2021-01-01,2021
Jeotermal + Rüzgar + Güneş,4442.072024705209,2021-01-01,2021
Brüt Üretim,27290.745992905715,2021-01-01,2021
Taşkömürü + İthal Kömür,5855.2139227,2021-02-01,2021
Lignite,3067.18857005,2021-02-01,2021
Liquid Fuels,23.299862967,2021-02-01,2021
Doğal Gaz + LNG,6842.301971935515,2021-02-01,2021
Yenilenebilir + Atık,551.6982935285,2021-02-01,2021
Termik,16339.702621181012,2021-02-01,2021
Hidrolik,4029.096038398001,2021-02-01,2021
Jeotermal + Rüzgar + Güneş,4277.114486581971,2021-02-01,2021
Brüt Üretim,24645.913146160983,2021-02-01,2021
Taşkömürü + İthal Kömür,5058.48623175,2021-03-01,2021
Lignite,3408.0385006300003,2021-03-01,2021
Liquid Fuels,21.155480065,2021-03-01,2021
Doğal Gaz + LNG,8392.297482377155,2021-03-01,2021
Yenilenebilir + Atık,619.053865336,2021-03-01,2021
Termik,17499.031560158153,2021-03-01,2021
Hidrolik,6206.365389956999,2021-03-01,2021
Jeotermal + Rüzgar + Güneş,4508.50984005602,2021-03-01,2021
Brüt Üretim,28213.90679017117,2021-03-01,2021
Taşkömürü + İthal Kömür,3862.53102697,2021-04-01,2021
Lignite,3412.02507033,2021-04-01,2021
Liquid Fuels,21.483002216,2021-04-01,2021
Doğal Gaz + LNG,5872.716776196779,2021-04-01,2021
Yenilenebilir + Atık,607.8168431080001,2021-04-01,2021
Termik,13776.57271882078,2021-04-01,2021
Hidrolik,8074.581380563999,2021-04-01,2021
Jeotermal + Rüzgar + Güneş,4544.73917301515,2021-04-01,2021
Brüt Üretim,26395.89327239993,2021-04-01,2021
Taşkömürü + İthal Kömür,3921.90325228,2021-05-01,2021
Lignite,3401.35896675,2021-05-01,2021
Liquid Fuels,19.450332976,2021-05-01,2021
Doğal Gaz + LNG,7158.387358738811,2021-05-01,2021
Yenilenebilir + Atık,636.305005958,2021-05-01,2021
Termik,15137.404916702812,2021-05-01,2021
Hidrolik,5818.694637432851,2021-05-01,2021
Jeotermal + Rüzgar + Güneş,4543.348885415295,2021-05-01,2021
Brüt Üretim,25499.44843955096,2021-05-01,2021
Taşkömürü + İthal Kömür,4456.82569728,2021-06-01,2021
Lignite,3552.60201984,2021-06-01,2021
